Zs,Zp
(0.31760995948213466+4.189051995565968e-05j),(-1624248.637819875+1899990.5849486843j)
(0.3118171334095532-0.0036253959005819363j),(2139592.530268609+2555693.7254748093j)
(0.3176099591482573+0.0001880243254190131j),(-255646.90225112817-4050157.4798781243j)
(0.3234033217509036-0.00012902360367212488j),(3615136.758090253-3494033.1284922827j)
(0.32340328447778566+0.0019411508945225448j),(1156685.4324035551+1109183.6248839088j)
(0.32340332175379016+0.00012788180186971922j),(-861071.2611711011+822173.4723930361j)
(0.3176099585505243+0.0003090413830672048j),(-6590039.802331064+2465648.3606319595j)
(0.31760995431494576+0.0007223260516216069j),(2263289.1122176154-1488910.9392095758j)
(0.3176099590845749+0.00020435899357770053j),(-1907232.4088120605+948232.9830217271j)
(0.31760986945648106+0.003010233441643212j),(3670914.962032277+2542396.5091608777j)
(0.3176099364828988-0.0015219344040271992j),(8812805.883008396-9166170.114518536j)
(0.32340328739329793+0.0018640353574610905j),(-14710.166120987722-2926304.7647595373j)
(0.32340331617739526+0.0007600008458364069j),(3396021.8466980723-2322349.418547656j)
(0.32340330840915366+0.0011659553019714747j),(2768103.5266420944+2648666.0190448696j)
(0.31760978962919184+0.004134603097050988j),(2990252.1874916144-3488709.7602814054j)
(0.3234032476967741+0.0027331221899930358j),(2968548.195744107+3245584.367022146j)
(0.31760987144707764+0.0029767737182158248j),(-1260525.2270441987-1010276.3901893715j)
(0.3176099350918893+0.0015672499350270687j),(4379124.817799722+1283770.8540637759j)
(0.31181705711114116+0.004562994501413487j),(-568698.9426703387+3131445.638520853j)
(0.3176098318621423+0.003583966704287557j),(696188.2110944598-6911825.3000909975j)
(0.3176098626441082+0.0031220293154472873j),(-3574615.571333018+4864337.525119788j)
(0.3176096618633717+0.005472904209580172j),(-10207339.747782692-6157367.663370227j)
(0.31760970982039893+0.0050126354173471895j),(680877.9179780579-6061454.098270314j)
(0.3118171266389802+0.0037181678905079114j),(2398066.089184913+1867544.1115826638j)
(0.30602511412169964+0.0034935849717373686j),(3722093.435970505+2039520.0492298107j)
(0.31181694582576025+0.005658520619164971j),(-7259248.742927026+4210068.9127345905j)
(0.3118166717720472+0.007719788653166113j),(6249287.101627338-4108723.127526547j)
(0.30602477854828614+0.006779960565913625j),(4486145.757259903+477555.0280796321j)
(0.31181650522836835+0.008738041358929466j),(46152118.75106842-15473872.851154687j)
(0.3118163857170675+0.009401012030411614j),(-668414.175981647+1923305.7969945308j)
(0.31760905496686087+0.00954085128032113j),(5020587.239010348+5473482.703306004j)
(0.31181575457694954+0.012324229711853488j),(5147308.624486815+5093680.766719j)
(0.3176084034854809+0.01251358517181277j),(678847.3110659978-8021491.216256899j)
(0.31181502174042475+0.015020895791049538j),(-9567863.92326846-3379649.0897755586j)
(0.3060229644718304+0.015115747176860539j),(-1966101.9234278053-16998651.39470962j)
