# Freq,Mag1,Mag2,V1,V2,Zr,Zi,Ar,Ai
2.967833671563310904e+00,-1.160462389248402957e+02,-8.389747313713218091e+01,9.970525519881370826e-07,4.037907247684597743e-05,-1.974210626715452690e+03,-5.292628145858858346e+01,-5.061677762091780627e-04,1.356976698757081283e-05
3.308900167422433203e+00,-1.090057168932543021e+02,-1.006968938716042032e+02,2.242560410623185105e-06,5.836940981384945425e-06,2.206277958410251827e+01,-7.704324117661920468e+01,3.435271231829979417e-03,1.199596945670819079e-02
3.689162375531946925e+00,-1.154874925204209006e+02,-8.346384859293367242e+01,1.063298912364988108e-06,4.244607782539344806e-05,1.942122258335854212e+03,-1.221503851404754784e+02,5.128718144925348624e-04,3.225723272521388948e-05
4.113124707428804427e+00,-1.163431271542089007e+02,-7.981509004083808634e+01,9.635486293374124762e-07,6.460639281175492295e-05,3.292739806833701095e+03,2.539774422273898438e+02,3.019023103245183580e-04,-2.328649728703978403e-05
4.585809226253394044e+00,-1.187725116984431963e+02,-8.473468175327768392e+01,7.284578215513379637e-07,3.666873331941050728e-05,2.460767315009493814e+03,-1.734222720383379794e+02,4.043689267255308429e-04,2.849785007574973320e-05
5.112815135803843170e+00,-1.129784152819737955e+02,-8.715623228239678610e+01,1.419414480793055906e-06,2.774714997400305532e-05,-9.138731905039567209e+02,-1.579042182461611787e+02,-1.062522227861688057e-03,1.835886461087108225e-04
5.700385106133595947e+00,-1.077510133366517948e+02,-8.584922426606399881e+01,2.591071090885794879e-06,3.225290091406317480e-05,-5.566167640017453095e+02,1.334265718877760492e+02,-1.698945383825603561e-03,-4.072540984189642363e-04
6.355479221354815245e+00,-1.120187489705119930e+02,-8.096614434963149165e+01,1.585230965481778226e-06,5.658779586466032650e-05,-1.723084691250943706e+03,-2.016396328278752890e+02,-5.725143662333139535e-04,6.699704731991995078e-05
7.085857425599375148e+00,-1.128476768711031042e+02,-8.332541449745049533e+01,1.440940845122653420e-06,4.312799523042543765e-05,-1.444415265833750937e+03,7.802310258298024337e+01,-6.903074670674980975e-04,-3.728839731260762488e-05
7.900171443754404166e+00,-1.157715660251416949e+02,-9.917315262565422529e+01,1.029086057913432868e-06,6.956204874484760441e-06,2.623249034555372532e+02,-1.188183048097454559e+02,3.163126974945817266e-03,1.432717138595050385e-03
8.808067265823263270e+00,-1.131403370417621943e+02,-8.215034151648615079e+01,1.393198966362041697e-06,4.937566068114209291e-05,1.704041764700208205e+03,2.482065343048979571e+02,5.746482704206845203e-04,-8.370185437944065328e-05
9.820299408894587856e+00,-1.101561222391084982e+02,-7.905236643569462274e+01,1.964372672153056906e-06,7.053613741877865753e-05,1.745301351274203853e+03,1.707972541276209455e+01,5.729120878352389392e-04,-5.606585440808939700e-06
1.094885831021428046e+01,-1.161918173416003981e+02,-5.823548336607598230e+01,9.804808789069893912e-07,7.749181399671714078e-04,1.994664284382780806e+03,-3.941677148099648912e+04,1.280551319155578971e-06,2.530510979318148997e-05
1.220711236040025049e+01,-1.189456767649166977e+02,-1.138191205935375052e+02,7.140788291804695144e-07,1.288468975997236701e-06,3.478859406539364585e+01,-2.018187910830745224e+01,2.150690663305669659e-02,1.247678445544834341e-02
1.360996625926014936e+01,-1.074453518164186931e+02,-1.211390385587180987e+02,2.683875740972749499e-06,5.547254200990009469e-07,3.711526301588977361e+01,-1.399344935845497773e+01,2.358981910720762271e-02,8.893994336251905344e-03
1.517403757002253073e+01,-1.170215650874282005e+02,-1.144154550550809972e+02,8.911519080274817410e-07,1.202976775270600230e-06,-7.922781086173394272e+00,-1.559881874272424263e+01,-2.588352361142305658e-02,5.096094273540238001e-02
1.691785356336157875e+01,-1.072250744060388001e+02,-1.063222039546714939e+02,2.752810241536023114e-06,3.054357006638112304e-06,2.779759442306286132e+00,-4.719218987555280798e+00,9.266454645450498961e-02,1.573173133062476803e-01
