frequency_hz,z_real_ohm,z_imag_ohm,z_mod_ohm,z_phase_deg,delta_phase_deg
466972.462,9677.403856773568,-725.794406757863,9704.582573608044,-4.28908925856822,-4.267124475524476
418839.048,9687.769179836678,-660.0634468448542,9710.229422400593,-3.8977488618079112,-3.877796517482518
375667.01,9697.436285914802,-598.7827921372403,9715.905071146832,-3.5333282318376558,-3.5152493986013997
336944.95,9706.490329553946,-541.967969852678,9721.6091156799,-3.1958273863392184,-3.1794831188811203
302214.185,9715.010337863388,-489.6331841218175,9727.341184505958,-2.8852462976725137,-2.87049767832168
271063.311,9723.069173789134,-441.7914991528507,9733.100938910078,-2.6015848987153714,-2.588293076923084
243123.328,9730.496124655205,-400.07972953113136,9738.717503958704,-2.354450943138964,-2.3424279254079323
218063.272,9739.314445274707,-361.2301991426533,9746.011138958811,-2.1241210680959894,-2.1132817482517536
195586.295,9744.736893884281,-326.86556339059075,9750.217342580632,-1.9211394261808479,-1.9113397202797253
175426.142,9748.880356142785,-296.1688015545698,9753.378089533951,-1.7400977496059733,-1.7312241025641075
157344.007,9752.7372287531,-267.70426588205765,9756.410663101371,-1.5723251560927338,-1.5643093240093284
141125.697,9756.210971748615,-243.3447129439528,9759.245317881185,-1.4288061995027863,-1.42152398601399
126579.097,9760.73518883135,-218.6998468195092,9763.184984905767,-1.2835592475843178,-1.277019813519817
113531.895,9762.31309114775,-197.9444974816355,9764.319685143353,-1.1615925746128948,-1.1556751282051314
101829.54,9765.86767235092,-180.83545658605397,9767.54180212337,-1.060829905247006,-1.0554274825174856
91333.4102,9764.625859026244,-163.4682524168211,9765.994062885367,-0.9590911383283693,-0.9542060139860167
81919.1744,9766.955739000157,-150.68488431678387,9768.118055283201,-0.8838908697872585,-0.8793897202797227
73475.3157,9771.719583780796,-137.1058465150434,9772.681394437954,-0.8038575858658568,-0.7997658741258765
65901.8117,9771.212280347867,-124.27519809664093,9772.002545664984,-0.7286772865962673,-0.724967972027974
