Freq,Mag1,Mag2,Zr,Zi,Ar,Ai
1000000.000001223,-49.92599166267795,-9.932138486917491,4710.269888702284,-1510.2490952106286,0.00019251132721433394,6.172471315085222e-05
896924.5376076346,-49.93814558794878,-9.927236089554096,4765.529631787708,-1361.7921913007517,0.00019399869760140342,5.543684163747444e-05
804473.6261616852,-49.93060000169625,-9.923449951759453,4800.523844724861,-1224.0310159789333,0.00019559421671648436,4.987234634198631e-05
721552.1351617242,-49.95052122517358,-9.920137822272658,4843.5296465682395,-1102.9427131858831,0.0001962829554031156,4.469650671754301e-05
647177.8151889396,-49.93201691251116,-9.91692405264031,4859.104631676568,-988.820110993576,0.0001976156501497949,4.021447240327599e-05
580469.6626375489,-49.89046458984861,-9.91497954174495,4856.187387096755,-883.5334628438092,0.00019932479784354047,3.6265101576863165e-05
520637.4837558065,-49.87677359491317,-9.912758129218362,4865.345682546847,-791.637979263361,0.0002002341656501066,3.258000163140704e-05
466972.5343783079,-49.88158214980135,-9.911524502608689,4881.368405116943,-710.418112405193,0.0002006114519532106,2.9196323079009776e-05
418839.1244722169,-49.89110456114882,-9.910972572304207,4897.25625943965,-637.5070477257436,0.00020079335005133663,2.613854963122476e-05
375667.0880487702,-49.91747853975107,-9.910287473534096,4920.903200950339,-572.9109307494942,0.0002004970824793476,2.3342659964052477e-05
336945.0292421377,-49.93212435667689,-9.9096018961203,4936.301069899933,-513.9260752940146,0.00020040856401566114,2.086485109020425e-05
302214.2645518258,-49.93082735269589,-9.909268690097047,4941.071222270863,-459.87255457961044,0.00020064719887129308,1.8674521326121952e-05
271063.3894912461,-49.9483904032105,-9.910073628009851,4954.998877297293,-412.0928400861985,0.00020043006520305439,1.666918537290175e-05
243123.4052814968,-49.94975694839111,-9.910160383971093,4959.182084015128,-368.3841449232477,0.0002005395776337236,1.4896730867775727e-05
218063.3478634334,-49.88881001866854,-9.910876256498108,4926.494270758782,-326.6825312243165,0.00020209544548469008,1.3401223679831018e-05
195586.3674513435,-49.89662884978933,-9.911591453501433,4932.770404498606,-291.81024620703226,0.00020201884861231038,1.1950925163323429e-05
175426.2121884387,-49.92032696110002,-9.912463115521339,4947.6535428341085,-260.92231346591166,0.00020155545615850479,1.0629344891928201e-05
157344.0742511817,-49.93556183801385,-9.913731915934747,4957.115310218913,-232.8713205177737,0.00020128601841641763,9.45585042449337e-06
141125.7610428699,-49.92789908452264,-9.915042324896424,4953.079341908867,-207.0832667715905,0.00020154231120026744,8.426281372662857e-06
126579.1579677468,-49.92177705738803,-9.916975644377297,4949.345494654229,-184.0030466674854,0.00020176804407348343,7.501180685357289e-06
113531.9527308462,-49.9335867376911,-9.918964471711071,4955.722456803938,-163.66692069433657,0.00020156707536126136,6.6569229462089086e-06
101829.5942066815,-49.9431648964113,-9.92029256801567,4961.053755191304,-145.39003873299407,0.00020139710798607193,5.902200374299084e-06
91333.4616984892,-49.9207153323776,-9.923419706886094,4946.7740099176735,-128.52913022099477,0.00020201556966082635,5.248852162550459e-06
81919.22290192186,-49.93213890890122,-9.925418518103728,4952.559597998058,-113.93868283930411,0.0002018089804422018,4.642821345556753e-06
73475.36112239314,-49.91941134650911,-9.927535580815023,4944.301950224694,-100.61070468349035,0.00020216930661222845,4.113906595592237e-06
65901.85430017585,-49.93568129505942,-9.928936278950657,4953.083530051151,-89.06568061587606,0.00020182917388262886,3.6292650085411937e-06
59108.99019559865,-49.93464298769275,-9.930778176097046,4951.601396123387,-78.60413086601164,0.0002019039870495378,3.2051221717556687e-06
53016.30369957669,-49.93834778971436,-9.933142465518365,4952.51168284886,-69.35772013559105,0.0002018781529324053,2.8272136098266567e-06
47551.6236813506,-49.93115648070291,-9.93594305821848,4946.868802700106,-61.040228667863296,0.00020211730047257497,2.4939586495286184e-06
42650.21808283547,-49.9794659937578,-9.937454103924326,4973.949011760071,-54.04013560932549,0.0002010237682966961,2.1840496703457366e-06
38254.0271327652,-49.99615253165528,-9.939497255256772,4982.492190415972,-47.64539132377454,0.0002006844220828137,1.919057262370325e-06
34310.97559764337,-50.0016885468853,-9.941045514621386,4984.85489477645,-41.911232667331056,0.00020059346489608763,1.686532417947756e-06
30774.35592274548,-50.00157796471348,-9.942836350899446,4983.792995453026,-36.81761108435132,0.00020063943851753924,1.4822174240103836e-06
27602.2749561475,-50.00263418905787,-9.94402141735148,4983.749250108455,-32.36160645500805,0.00020064368952272418,1.3028649300271115e-06
24757.15770193112,-50.00219663450004,-9.944956652275415,4982.977753508538,-28.418342380817666,0.0002006766887897119,1.1444760807650383e-06
22205.3022242567,-50.0038207489975,-9.946610417770358,4982.97903836348,-24.9713178270445,0.00020067812438563602,1.0056629149727819e-06
19916.48042990486,-49.99701547377413,-9.947951388130974,4978.2752285371025,-21.917543084043846,0.00020086888957508982,8.843529815847073e-07
17863.58000034208,-49.97897266656435,-9.94959722129548,4966.901338867895,-19.210687381568,0.00020132975724300404,7.786913335153718e-07
16022.28323180421,-49.95351735911733,-9.94975179454796,4952.13945186001,-16.844775819459485,0.00020193058768873975,6.868698900292361e-07
14370.77897908698,-49.94180087209092,-9.950517587770944,4944.962723830064,-14.765875712272887,0.00020222419044786587,6.038503076632707e-07
12889.50429086333,-49.94244925829817,-9.951388675025932,4944.839681025758,-12.974581571039348,0.00020222963329384307,5.30622839668697e-07
11560.91267606008,-49.96626925727016,-9.952611119572172,4957.855248068356,-11.436384288090565,0.000201699047074915,4.652632433730533e-07
10369.26625628475,-49.98397941154505,-9.953500046301809,4967.56592970434,-10.07691695605802,0.00020130500514426537,4.0835569137545977e-07
9300.449342237273,-50.01701663495476,-9.954065225946172,4986.361385718188,-8.927030385783008,0.00020054639395732085,3.5903610150357317e-07
8341.801225819192,-50.00707215566671,-9.95430159577468,4980.463361801555,-7.9067963549965725,0.000200784024900499,3.1875716793759286e-07
7481.96620727353,-49.99661910040417,-9.954883337385546,4974.077886513095,-7.024601617042796,0.00020104188723863619,2.839197934594186e-07
6710.75908084655,-49.98634403675497,-9.955531916503402,4967.764366272639,-6.312285098271912,0.0002012974673764355,2.557784367283766e-07
6019.044485577167,-50.01749503864018,-9.955547548830255,4985.784068171466,-5.680693739331055,0.0002005699982481839,2.2852508607817922e-07
5398.628692059481,-50.0189245660752,-9.95540778839529,4986.694506574595,-5.189675646540798,0.00020053342261427748,2.086960447018957e-07
4842.162543334837,-50.00331079936124,-9.955573650939183,4977.55318312487,-4.656342317654895,0.0002009017459201452,1.8793717852984233e-07
4343.054400196295,-49.92023531620941,-9.955676981742695,4929.637968911848,-4.133517526119051,0.00020285451045678058,1.700941690877335e-07
3895.392059696101,-49.9293917133339,-9.95553543120117,4934.9716970474365,-3.7077571411757324,0.00020263529294657236,1.522445316001309e-07
3493.872721939104,-49.8952505831849,-9.955147150800322,4915.638267539597,-3.2930928748848585,0.00020343229033116124,1.3628371115809702e-07
3133.740175581326,-49.89760692264736,-9.95556494250815,4916.746844098865,-2.97366433120614,0.0002033864394326927,1.2300877380292777e-07
2810.728457962311,-49.896165631991,-9.956910208239782,4915.153880978057,-2.6510206009938897,0.00020345237062966042,1.097333753776491e-07
2521.011322495383,-49.9008557743217,-9.956658340714858,4917.9798517396985,-2.3710383461215008,0.0002033354746685605,9.803135069685758e-08
2261.156914730017,-49.89935073152167,-9.956105909728938,4917.435143547811,-2.1127955055638252,0.0002033580080277437,8.73735744019278e-08
2028.087120200046,-49.93470421169923,-9.955978875805233,4937.767933641499,-1.9080612120978113,0.00020252062553711997,7.825838626486163e-08
1819.041102511201,-49.98003461118736,-9.956781996961844,4963.402916433409,-1.7094031347388643,0.0002014746532216322,6.93881616274189e-08
1631.542599757146,-49.99981909571596,-9.95667879225387,4974.895081424717,-1.5573233101973436,0.00020100924454507948,6.292321284604111e-08
1463.370591872546,-50.01421533784043,-9.956346275474083,4983.423115617909,-1.4414534457062336,0.00020066526424390268,5.804235961249709e-08
1312.532991462289,-50.00354654714533,-9.956451389930297,4977.183593723446,-1.355375384484899,0.00020091682515069762,5.4713215618873784e-08
1177.243046460639,-50.00643155809251,-9.956844328613752,4978.626205406185,-1.1430445552846944,0.00020085861159899757,4.611519983584428e-08
1055.89817509722,-50.00172159066487,-9.956311303650159,4976.208587648508,-1.105930915412163,0.00020095619646850362,4.4661244882256684e-08
947.0609824586614,-50.00519690225451,-9.95685024936957,4977.9080548763295,-1.0518860322108639,0.0002008875905950349,4.24497295373732e-08
849.4422337769282,-49.99666281036226,-9.956824083481301,4972.98559232756,-0.9598776370782565,0.00020108643875556945,3.881337922614754e-08
761.8855827538358,-49.97536018579488,-9.956735285387744,4960.732774103419,-0.8957498815390027,0.0002015831154251023,3.639947160728358e-08
683.3538740205718,-49.95483135467479,-9.956672789619102,4948.940049614552,-0.6680615595857086,0.0002020634664700291,2.72767164669485e-08
612.9168574775375,-49.97969367917015,-9.957669203206265,4962.694334613006,-0.7583261322002142,0.00020150343930632457,3.0790798999737625e-08
549.7401689842925,-50.00751219936933,-9.956940356803013,4979.196350591971,-0.7210750209378541,0.00020083561856502975,2.908452241386876e-08
493.0754468699764,-50.01660964504347,-9.95675212921087,4984.575712607637,-0.637668251832624,0.00020061887737105136,2.5664830106652612e-08
442.2514671889905,-50.00471331398092,-9.95684876961203,4977.6290581853855,-0.6509634137370218,0.0002008988559026372,2.627311186220018e-08
396.6661927142982,-50.00999569863114,-9.956819187486563,4980.704713512276,-0.6186896242562573,0.000200774798364806,2.493970064586554e-08
355.7796414844177,-50.01717221260013,-9.956790197082906,4984.879743185842,-0.5782890961403869,0.00020060664209782837,2.327210278183562e-08
319.1074904282311,-50.02032084232543,-9.956377683114546,4986.944424982965,-0.5864865374739748,0.00020052358738139033,2.3582453386889983e-08
286.2153382991239,-50.01324365398453,-9.95701066899528,4982.475278245617,-0.6125554067063873,0.00020070345140525797,2.4674880945161988e-08
256.7135599598404,-50.0145523258557,-9.95677177088539,4983.372008860463,-0.5086544440411146,0.0002006673368561772,2.0482182041458725e-08
230.2526910643081,-50.02286937229253,-9.956049130646107,4988.613099043155,-0.7468566048259974,0.00020045651120509665,3.0010799875945215e-08
206.5192884655155,-50.00912679155053,-9.95652293185045,4980.373063748576,-0.5477525091136871,0.0002007881688989862,2.208312949793006e-08
185.2322173137637,-50.0023569304254,-9.95672700348005,4976.335781910148,-0.5268107299409991,0.00020095106773706113,2.127331902758964e-08
166.1393208639811,-50.00891248522208,-9.956151561848216,4980.464038934725,-0.4246273389420926,0.0002007845021896521,1.7118603447208255e-08
149.0144335441905,-50.0357773576125,-9.956021347236735,4996.122643227602,-0.5940051939914276,0.00020015521180608508,2.3797101053640526e-08
133.6547019033232,-50.02562295715893,-9.95585124911605,4990.325551566771,-0.39574197701792213,0.00020038772688833046,1.5891114595523252e-08
119.8781817035778,-50.02831019937009,-9.956262489996382,4991.646449246285,-0.5420687418484055,0.00020033469885634281,2.1755382570020422e-08
107.521682693594,-50.00034586263774,-9.95602526129699,4975.5781780553625,-0.32378739378981825,0.00020098166684942692,1.3078948371411837e-08
96.43883553262864,-49.98726352912712,-9.955445807850092,4968.349327424563,-0.32186414331259555,0.00020127409123253873,1.303912198524167e-08
86.49835796741586,-50.01804645889476,-9.955457976697279,4986.158931199093,-0.35709651389668656,0.00020055517857920372,1.436327162907705e-08
77.58249972364919,-50.01440836987329,-9.95548116622948,4984.036532885897,-0.3913771466156657,0.0002006405826352596,1.5755530323455262e-08
69.58564769099335,-50.02739135807526,-9.95571030705834,4991.433645585028,-0.3744149102661101,0.0002003432411162643,1.5028046443393308e-08
62.41307487929563,-50.00743392009674,-9.955705718037102,4979.865977858457,-0.3232215776812301,0.00020080861618233613,1.303361938313676e-08
55.97981832671441,-50.00141863597997,-9.955640695914468,4976.421421287949,-0.6404911014352115,0.00020094760848774187,2.586299354401847e-08
50.20967266798628,-49.98777229193416,-9.955542689565885,4968.587305901767,-0.23427836429918109,0.00020126445128354327,9.49000259737269e-09
45.03428744110918,-50.00724080779328,-9.956300035540862,4979.410018117153,-0.152266819368124,0.00020082700469061464,6.1411470708793025e-09
40.39235743955675,-50.02364993664503,-9.956402411957006,4988.861022276659,-0.14641743521726835,0.00020044655376715533,5.88287991380723e-09
36.22889651931241,-50.00778800566099,-9.95593510887385,4979.938190747342,-0.2627284153441962,0.00020080570459180536,1.0593979792259729e-08
32.49458625857937,-50.01863346758016,-9.956157441595241,4986.093730686628,-0.3246946727040175,0.00020055780131146282,1.3060334035496601e-08
29.14519175469204,-50.00372133173671,-9.95537543089923,4977.907723871908,-0.26043349142310573,0.0002008876123732207,1.0510010465464306e-08
26.14103763803102,-50.01375419691055,-9.95526336389501,4983.783638051236,-0.33805554294627105,0.00020065076416318152,1.361036271797142e-08
23.44653809604605,-50.00464286484018,-9.954912190969372,4978.70938181571,-0.12124210643555353,0.00020085526643900622,4.891250668432943e-09
21.02977534027017,-49.96536225173826,-9.956051331826014,4955.3626663192035,-0.11370496227497079,0.00020180157675851385,4.630506830169182e-09
18.86212152304118,-49.93799844094709,-9.955509997591594,4939.9296832957425,-0.256369621905976,0.00020243203070038316,1.0505700789184528e-08
16.91789962533202,-49.95822400724289,-9.955625800318732,4951.495862632921,-0.25816084526458305,0.00020195917052627638,1.052973719830064e-08
15.17407929872473,-49.9821400145258,-9.956033898926886,4965.050491449705,-0.07630895079228746,0.00020140782082395407,3.0954810056623264e-09
13.61000405861361,-49.97091463573062,-9.955195585045988,4959.056796905809,-0.2484696161433358,0.0002016512491071923,1.0103576246948946e-08
12.20714659709511,-49.98307696500176,-9.955776740181205,4965.7399898252925,-0.17891214675974657,0.00020137985491605894,7.255575650562004e-09
10.94888931709475,-49.9897776257314,-9.955496889784525,4969.772562208659,-0.24148341628601788,0.00020121645107931278,9.777195115340721e-09
9.820327488040359,-49.97327649057922,-9.956193384031701,4959.843494008933,-0.2610702829627219,0.0002016192644863254,1.0612592613811623e-08
8.808092691355368,-49.97998451156299,-9.955653874631265,4964.02546744708,-0.22749713879909178,0.00020144940924607545,9.232258076995461e-09
7.900194464389434,-50.02501917446702,-9.955139831291923,4990.388023502408,-0.19003587569175565,0.0002003852193136785,7.63074543474746e-09
7.085878266974218,-50.04106213874243,-9.954851899634136,4999.873696487446,-0.07960433095304685,0.00020000505221742733,3.184334112316207e-09
6.355498088142062,-49.97348908895597,-9.95548275188338,4960.376029646602,-0.013837641118225613,0.00020159761961906393,5.62383878541545e-10
5.70040218396605,-49.98716234300705,-9.955950718718864,4967.99917043118,-0.13209020914126737,0.00020128827823581854,5.351895171018569e-09
5.112830593025045,-49.9828705822068,-9.95529270359838,4965.900327935343,-0.10870140050875318,0.0002013733529638952,4.407975200223129e-09
4.585823215509546,-49.98603825743112,-9.956175044454085,4967.220230326286,-0.039707951188376174,0.00020131984360806333,1.609350532604711e-09
4.113137367116223,-49.97497168838713,-9.95532334184139,4961.323293846382,-0.18653377000689664,0.00020155912835326405,7.578136288290521e-09
3.689173831112888,-49.91794699667946,-9.955028493306612,4928.6996714758425,-0.06061407513418262,0.00020289327135027403,2.4952195941293907e-09
3.308910532621065,-49.95433304494601,-9.954773009457924,4949.746737044947,-0.17091346915180614,0.000202030538516948,6.976062018307185e-09
2.967843049452549,-50.0094778500936,-9.955407656916826,4981.2223797170445,-0.1658505975618912,0.00020075393601444403,6.684134478009095e-09
2.661931254819004,-49.97233810604384,-9.955336843966032,4959.796290480301,-0.20905920215790952,0.00020162118354390607,8.498486893650346e-09
2.387551459868925,-49.99218816703006,-9.954858246839494,4971.535061316326,-0.2960768390741291,0.00020114511596917102,1.1979078774832758e-08
2.141453489154749,-49.97120622939665,-9.955122125381592,4959.267329306982,-0.06891556089340009,0.0002016426890112081,2.802091133732601e-09
1.920722180566029,-49.9968801192914,-9.955117944845265,4974.098123616076,0.007434615263596818,0.00020104147026170542,-3.004898468583138e-10
1.722742853674806,-49.95203514715362,-9.955324419194183,4948.106898769607,0.016044503902646435,0.00020209749313179656,-6.553120382412236e-10
1.545170337447242,-49.99141007395367,-9.955835807235175,4970.520182253958,-0.14959912328568886,0.00020118618623950313,6.055156397126411e-09
1.385901190438205,-50.01154043223536,-9.95538771317755,4982.428810726708,-0.07068280502134051,0.0002007053262147646,2.847289139192658e-09
1.243048784402136,-49.92106862764472,-9.955311723640534,4930.326891788649,-0.02804977523219023,0.00020282630785255042,1.153925991380886e-09
1.114920956172254,-49.85817726965736,-9.955660712643184,4894.197741422178,-0.10144458203772234,0.00020432357914492135,4.235121092754403e-09
0.9999999630826378,-49.85770560470152,-9.95607658061051,4893.692559668348,-0.23257464757145485,0.00020434467133936766,9.71156020538386e-09
